epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.794,1.29045,1.76046,0.46224,1.15845,1.35384,0.00185,0.20028,0.00044,0.00011,0.00341,0.26287,0.00132,0.00037,3.65834,5.81828,0.3119,1127.59,9.91148,0.00328502,0.00328502,0.0704348
2,211.692,1.09777,1.41441,0.28271,0.91264,1.23851,0.20894,0.09875,0.06208,0.03166,0.21626,0.11057,0.0747,0.04521,2.58633,3.01486,0.17224,5.85072,2.67782,0.00661674,0.00661674,0.0404332
3,318.973,1.07475,1.32236,0.24299,0.93136,1.25627,0.34483,0.42003,0.26893,0.15995,0.34997,0.42629,0.28311,0.19411,1.44964,1.90192,0.18838,11.674,1.77118,0.00994197,0.00994197,0.0104251
4,426.353,1.03253,1.29692,0.22785,0.86269,1.22375,0.2788,0.36787,0.23335,0.16312,0.2788,0.36787,0.23712,0.15914,1.15058,1.81663,0.15226,3.62895,1.44892,0.00997803,0.00997803,0.00997803
5,533.645,0.96749,1.31252,0.22266,0.79645,1.19357,0.91903,0.80459,0.87363,0.64493,0.91437,0.80198,0.86955,0.48361,0.97649,1.85352,0.14327,0.83918,1.26656,0.00996097,0.00996097,0.00996097
6,640.5,0.91174,1.24295,0.22467,0.72196,1.15676,0.94032,0.8783,0.9441,0.72503,0.93419,0.87274,0.93849,0.58731,0.83525,1.60156,0.12081,0.8038,1.17782,0.00993906,0.00993906,0.00993906
7,747.561,0.87928,1.21257,0.20679,0.70169,1.14132,0.90458,0.80429,0.88349,0.64737,0.89647,0.80181,0.88292,0.58283,0.97006,1.54763,0.14764,0.81549,1.24734,0.00991232,0.00991232,0.00991232
8,854.762,0.86516,1.20103,0.20277,0.67721,1.12339,0.90572,0.83727,0.92843,0.71904,0.90388,0.83053,0.92139,0.67634,0.787,1.21674,0.116,0.57536,1.13511,0.00988079,0.00988079,0.00988079
9,961.988,0.82803,1.18549,0.20024,0.65832,1.10539,0.92911,0.85883,0.931,0.69823,0.92337,0.85327,0.92223,0.62573,0.91279,1.45065,0.12291,0.63006,1.22126,0.00984449,0.00984449,0.00984449
10,1069.14,0.81632,1.20415,0.20187,0.62795,1.0924,0.94371,0.83866,0.92969,0.72723,0.93716,0.8338,0.92044,0.62492,0.77821,1.36492,0.11059,0.55895,1.124,0.00980345,0.00980345,0.00980345
11,1176.47,0.80872,1.20212,0.19979,0.6304,1.10534,0.91759,0.90056,0.94775,0.74799,0.91039,0.89638,0.94384,0.68343,0.76479,1.28848,0.12413,0.56066,1.1152,0.00975773,0.00975773,0.00975773
12,1283.81,0.78988,1.13449,0.19656,0.60207,1.08443,0.95363,0.91516,0.96374,0.75921,0.9479,0.91029,0.95832,0.6484,0.74528,1.38147,0.1221,0.47324,1.10448,0.00970736,0.00970736,0.00970736
13,1391.21,0.79264,1.1718,0.18758,0.61132,1.08354,0.9167,0.84951,0.92639,0.72396,0.90995,0.84325,0.91552,0.60305,0.77992,1.43869,0.12017,0.57966,1.11342,0.00965239,0.00965239,0.00965239
14,1498.62,0.76945,1.16443,0.19241,0.59001,1.05954,0.92366,0.89708,0.9557,0.75697,0.92531,0.87761,0.94507,0.6308,0.74141,1.44232,0.12041,0.49752,1.08359,0.00959289,0.00959289,0.00959289
15,1606.47,0.76532,1.12555,0.19387,0.59408,1.0634,0.92969,0.9089,0.96013,0.77012,0.924,0.90334,0.9554,0.66027,0.7322,1.35367,0.13066,0.52551,1.09813,0.00952889,0.00952889,0.00952889
16,1714.17,0.74963,1.16128,0.18145,0.58076,1.0501,0.95985,0.89917,0.96754,0.77567,0.94969,0.89256,0.95648,0.62411,0.71912,1.49226,0.12253,0.45221,1.08365,0.00946048,0.00946048,0.00946048
17,1821.39,0.75674,1.13507,0.18252,0.56603,1.06406,0.92942,0.9066,0.96398,0.7829,0.92426,0.89955,0.95515,0.6458,0.69081,1.3927,0.1114,0.43152,1.07206,0.00938772,0.00938772,0.00938772
18,1928.76,0.74348,1.14438,0.18177,0.55549,1.05787,0.96187,0.87552,0.96228,0.78133,0.95355,0.8708,0.95386,0.67011,0.6888,1.30184,0.12925,0.44581,1.0669,0.00931067,0.00931067,0.00931067
19,2036.2,0.73769,1.14476,0.18144,0.57078,1.05766,0.94091,0.91655,0.9684,0.79013,0.93496,0.90962,0.96114,0.65063,0.68131,1.40445,0.1183,0.42512,1.05594,0.00922942,0.00922942,0.00922942
20,2143.69,0.73844,1.13218,0.17948,0.54764,1.04618,0.95426,0.90264,0.96495,0.76404,0.9491,0.8948,0.95343,0.63867,0.74584,1.42305,0.12608,0.43002,1.08769,0.00914405,0.00914405,0.00914405
21,2251.12,0.72819,1.13651,0.17707,0.54588,1.04191,0.95128,0.92334,0.97435,0.79554,0.9461,0.91864,0.96557,0.68293,0.68829,1.26271,0.12205,0.40145,1.07541,0.00905463,0.00905463,0.00905463
22,2358.96,0.73352,1.14612,0.18353,0.55613,1.05384,0.94359,0.92281,0.97401,0.79586,0.9452,0.90682,0.96285,0.63819,0.67017,1.41873,0.12641,0.39421,1.0545,0.00896127,0.00896127,0.00896127
23,2466.62,0.70968,1.14383,0.17911,0.52385,1.03319,0.95014,0.9144,0.97262,0.78937,0.94075,0.90536,0.95976,0.5887,0.6882,1.55282,0.11432,0.41185,1.05523,0.00886404,0.00886404,0.00886404
24,2574.2,0.71759,1.1086,0.17937,0.53401,1.0364,0.95296,0.91446,0.9728,0.79556,0.94571,0.90751,0.96234,0.65611,0.67392,1.37019,0.10966,0.38996,1.05541,0.00876305,0.00876305,0.00876305
25,2681.44,0.69492,1.11079,0.17368,0.51528,1.02978,0.94925,0.91044,0.97404,0.79266,0.94467,0.90056,0.96254,0.6443,0.66813,1.38175,0.11769,0.42656,1.0542,0.00865839,0.00865839,0.00865839
26,2788.7,0.69329,1.12764,0.17555,0.51556,1.01843,0.96221,0.90403,0.97716,0.8008,0.95498,0.89638,0.96772,0.66347,0.66332,1.35178,0.1255,0.37919,1.04647,0.00855018,0.00855018,0.00855018
27,2896.25,0.69611,1.11915,0.17681,0.51693,1.02428,0.9513,0.9101,0.97455,0.79834,0.94325,0.90156,0.9658,0.6367,0.66897,1.42242,0.11558,0.38518,1.05803,0.00843851,0.00843851,0.00843851
28,3003.71,0.68865,1.09186,0.17811,0.51967,1.0306,0.93148,0.92003,0.97328,0.78992,0.92501,0.90927,0.96139,0.63551,0.67775,1.42196,0.11965,0.41238,1.06257,0.00832349,0.00832349,0.00832349
